Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT PERTANIAN BOGOR,AGRIBISNIS,48,872,5.5
INSTITUT PERTANIAN BOGOR,AGRONOMI DAN HORTIKULTURA,69,864,7.99
INSTITUT PERTANIAN BOGOR,AKTUARIA,25,555,4.5
INSTITUT PERTANIAN BOGOR,ARSITEKTUR LANSEKAP,32,497,6.44
INSTITUT PERTANIAN BOGOR,BIOKIMIA,35,205,17.07
INSTITUT PERTANIAN BOGOR,BIOLOGI,35,363,9.64
INSTITUT PERTANIAN BOGOR,BISNIS,58,948,6.12
INSTITUT PERTANIAN BOGOR,EKONOMI PEMBANGUNAN,32,350,9.14
INSTITUT PERTANIAN BOGOR,EKONOMI SUMBERDAYA DAN LINGKUNGAN,34,234,14.53
INSTITUT PERTANIAN BOGOR,EKONOMI SYARIAH,30,353,8.5
INSTITUT PERTANIAN BOGOR,FISIKA,35,226,15.49
INSTITUT PERTANIAN BOGOR,ILMU DAN TEKNOLOGI KELAUTAN,35,334,10.48
INSTITUT PERTANIAN BOGOR,ILMU GIZI,34,1119,3.04
INSTITUT PERTANIAN BOGOR,ILMU KELUARGA DAN KONSUMEN,32,606,5.28
INSTITUT PERTANIAN BOGOR,ILMU KOMPUTER,42,889,4.72
INSTITUT PERTANIAN BOGOR,KEDOKTERAN HEWAN,58,677,8.57
INSTITUT PERTANIAN BOGOR,KIMIA,35,280,12.5
INSTITUT PERTANIAN BOGOR,KOMUNIKASI DAN PENGEMBANGAN MASYARAKAT,46,865,5.32
INSTITUT PERTANIAN BOGOR,KONSERVASI SUMBERDAYAHUTAN& EKOWISATA,44,669,6.58
INSTITUT PERTANIAN BOGOR,MANAJEMEN,46,995,4.62
INSTITUT PERTANIAN BOGOR,MANAJEMEN HUTAN,42,524,8.02
INSTITUT PERTANIAN BOGOR,MANAJEMEN SUMBERDAYA LAHAN,30,218,13.76
INSTITUT PERTANIAN BOGOR,MANAJEMEN SUMBERDAYA PERAIRAN,34,233,14.59
INSTITUT PERTANIAN BOGOR,MATEMATIKA,28,284,9.86
INSTITUT PERTANIAN BOGOR,METEOROLOGI TERAPAN,35,262,13.36
INSTITUT PERTANIAN BOGOR,NUTRISI DAN TEKNOLOGI PAKAN,53,291,18.21
INSTITUT PERTANIAN BOGOR,PROTEKSI TANAMAN,34,216,15.74
INSTITUT PERTANIAN BOGOR,SILVIKULTUR,35,492,7.11
INSTITUT PERTANIAN BOGOR,STATISTIKA DAN SAINS DATA,32,632,5.06
INSTITUT PERTANIAN BOGOR,TEKNIK PERTANIAN DAN BIOSISTEM,42,608,6.91
INSTITUT PERTANIAN BOGOR,TEKNIK SIPIL DAN LINGKUNGAN,35,677,5.17
INSTITUT PERTANIAN BOGOR,TEKNOLOGI & MANAJEMEN PERIKANAN BUDIDAYA,42,275,15.27
INSTITUT PERTANIAN BOGOR,TEKNOLOGI & MANAJEMEN PERIKANAN TANGKAP,34,95,35.79
INSTITUT PERTANIAN BOGOR,TEKNOLOGI HASIL HUTAN,30,267,11.24
INSTITUT PERTANIAN BOGOR,TEKNOLOGI HASIL PERAIRAN,34,459,7.41
INSTITUT PERTANIAN BOGOR,TEKNOLOGI HASIL TERNAK,28,298,9.4
INSTITUT PERTANIAN BOGOR,TEKNOLOGI INDUSTRI PERTANIAN,44,608,7.24
INSTITUT PERTANIAN BOGOR,TEKNOLOGI PANGAN,48,862,5.57
INSTITUT PERTANIAN BOGOR,TEKNOLOGI PRODUKSI TERNAK,35,309,11.33
