Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ARSITEKTUR,45,956,4.71
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,BIOLOGI,36,147,24.49
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,DESAIN INTERIOR,24,354,6.78
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,DESAIN KOMUNIKASI VISUAL,24,608,3.95
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,DESAIN PRODUK INDUSTRI,36,327,11.01
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,FISIKA,60,153,39.22
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,KIMIA,60,331,18.13
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,MANAJEMEN BISNIS,39,931,4.19
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,MATEMATIKA,60,566,10.6
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,PERENCANAAN WILAYAH DAN KOTA,57,1021,5.58
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,SAINS AKTUARIA,36,540,6.67
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,SISTEM INFORMASI,66,1152,5.73
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,STATISTIKA,60,781,7.68
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,STATISTIKA BISNIS,39,0,100.0
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,STUDI PEMBANGUNAN,30,230,13.04
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEK. SIST PERKAPALAN (GLR GANDA ITS-JERMAN),18,125,14.4
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK BIOMEDIK,24,349,6.88
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK ELEKTRO,84,1160,7.24
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK FISIKA,60,318,18.87
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK GEOFISIKA,30,301,9.97
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK GEOMATIKA,45,310,14.52
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK INDUSTRI,60,1435,4.18
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK INFORMATIKA,90,2049,4.39
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK KELAUTAN,36,225,16.0
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK KIMIA,60,715,8.39
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK KOMPUTER,24,451,5.32
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK LINGKUNGAN,48,779,6.16
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK MATERIAL,60,601,9.98
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK MESIN,78,1279,6.1
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK PERKAPALAN,36,577,6.24
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK SIPIL,27,0,100.0
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK SIPIL,60,1247,4.81
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK SISTEM PERKAPALAN,42,274,15.33
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK TRANSPORTASI LAUT,15,172,8.72
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNOLOGI INFORMASI,24,388,6.19
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNOLOGI REKAYASA INSTRUMENTASI,39,0,100.0
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNOLOGI REKAYASA KIMIA INDUSTRI,30,0,100.0
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNOLOGI REKAYASA KONSTRUKSI BANGUNAN AIR,27,0,100.0
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNOLOGI REKAYASA KONVERSI ENERGI,30,0,100.0
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNOLOGI REKAYASA MANUFAKTUR,30,0,100.0
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNOLOGI REKAYASA OTOMASI,42,0,100.0
