Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS ANDALAS,ADMINISTRASI PUBLIK,40,808,4.95
UNIVERSITAS ANDALAS,AGRIBISNIS,48,839,5.72
UNIVERSITAS ANDALAS,AGROEKOTEKNOLOGI,60,55,100.0
UNIVERSITAS ANDALAS,AGROTEKNOLOGI,60,449,13.36
UNIVERSITAS ANDALAS,AKUNTANSI,72,1108,6.5
UNIVERSITAS ANDALAS,ANTROPOLOGI SOSIAL,40,317,12.62
UNIVERSITAS ANDALAS,BIOLOGI,48,189,25.4
UNIVERSITAS ANDALAS,EKONOMI,56,520,10.77
UNIVERSITAS ANDALAS,EKONOMI (KAMPUS 2 PAYAKUMBUH),32,141,22.7
UNIVERSITAS ANDALAS,FARMASI,60,1686,3.56
UNIVERSITAS ANDALAS,FISIKA,48,102,47.06
UNIVERSITAS ANDALAS,GIZI,40,854,4.68
UNIVERSITAS ANDALAS,HUBUNGAN INTERNASIONAL,48,587,8.18
UNIVERSITAS ANDALAS,HUKUM,240,2168,11.07
UNIVERSITAS ANDALAS,ILMU BIOMEDIS,16,427,3.75
UNIVERSITAS ANDALAS,ILMU KOMUNIKASI,40,1167,3.43
UNIVERSITAS ANDALAS,ILMU POLITIK,40,390,10.26
UNIVERSITAS ANDALAS,ILMU TANAH,48,220,21.82
UNIVERSITAS ANDALAS,KEBIDANAN,32,273,11.72
UNIVERSITAS ANDALAS,KEDOKTERAN,100,2531,3.95
UNIVERSITAS ANDALAS,KEDOKTERAN GIGI,40,758,5.28
UNIVERSITAS ANDALAS,KEPERAWATAN,72,833,8.64
UNIVERSITAS ANDALAS,KESEHATAN MASYARAKAT,80,1207,6.63
UNIVERSITAS ANDALAS,KIMIA,48,253,18.97
UNIVERSITAS ANDALAS,MANAJEMEN,68,1625,4.18
UNIVERSITAS ANDALAS,MANAJEMEN (KAMPUS 2 PAYAKUMBUH),32,227,14.1
UNIVERSITAS ANDALAS,MATEMATIKA,40,283,14.13
UNIVERSITAS ANDALAS,PENYULUHAN PERTANIAN,16,131,12.21
UNIVERSITAS ANDALAS,PETERNAKAN,140,597,23.45
UNIVERSITAS ANDALAS,PETERNAKAN ( KAMPUS II PAYAKUMBUH),40,135,29.63
UNIVERSITAS ANDALAS,PROTEKSI TANAMAN,56,216,25.93
UNIVERSITAS ANDALAS,PSIKOLOGI,60,887,6.76
UNIVERSITAS ANDALAS,SASTRA INDONESIA,48,261,18.39
UNIVERSITAS ANDALAS,SASTRA INGGRIS,48,412,11.65
UNIVERSITAS ANDALAS,SASTRA JEPANG,32,202,15.84
UNIVERSITAS ANDALAS,SASTRA MINANGKABAU,38,65,58.46
UNIVERSITAS ANDALAS,SEJARAH,32,145,22.07
UNIVERSITAS ANDALAS,SISTEM INFORMASI,34,1233,2.76
UNIVERSITAS ANDALAS,SOSIOLOGI,48,372,12.9
UNIVERSITAS ANDALAS,TEKNIK ELEKTRO,60,857,7.0
UNIVERSITAS ANDALAS,TEKNIK INDUSTRI,52,916,5.68
UNIVERSITAS ANDALAS,TEKNIK KOMPUTER,34,725,4.69
UNIVERSITAS ANDALAS,TEKNIK LINGKUNGAN,48,571,8.41
UNIVERSITAS ANDALAS,TEKNIK MESIN,60,735,8.16
UNIVERSITAS ANDALAS,TEKNIK PERTANIAN DAN BIOSISTEM,44,356,12.36
UNIVERSITAS ANDALAS,TEKNIK SIPIL,72,1173,6.14
UNIVERSITAS ANDALAS,TEKNOLOGI HASIL PERTANIAN,44,348,12.64
UNIVERSITAS ANDALAS,TEKNOLOGI INDUSTRI PERTANIAN,32,161,19.88
