Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS BANGKA BELITUNG,AGRIBISNIS,40,154,25.97
UNIVERSITAS BANGKA BELITUNG,AGROTEKNOLOGI,35,104,33.65
UNIVERSITAS BANGKA BELITUNG,AKUAKULTUR,24,41,58.54
UNIVERSITAS BANGKA BELITUNG,AKUNTANSI,50,258,19.38
UNIVERSITAS BANGKA BELITUNG,BIOLOGI,20,59,33.9
UNIVERSITAS BANGKA BELITUNG,EKONOMI,25,106,23.58
UNIVERSITAS BANGKA BELITUNG,FISIKA,20,13,100.0
UNIVERSITAS BANGKA BELITUNG,HUKUM,60,192,31.25
UNIVERSITAS BANGKA BELITUNG,ILMU KELAUTAN,25,79,31.65
UNIVERSITAS BANGKA BELITUNG,ILMU POLITIK,28,66,42.42
UNIVERSITAS BANGKA BELITUNG,KIMIA,20,26,76.92
UNIVERSITAS BANGKA BELITUNG,MANAJEMEN,45,411,10.95
UNIVERSITAS BANGKA BELITUNG,MANAJEMEN SUMBERDAYA PERAIRAN,25,100,25.0
UNIVERSITAS BANGKA BELITUNG,MATEMATIKA,24,40,60.0
UNIVERSITAS BANGKA BELITUNG,SASTRA INGGRIS,28,71,39.44
UNIVERSITAS BANGKA BELITUNG,SOSIOLOGI,36,197,18.27
UNIVERSITAS BANGKA BELITUNG,TEKNIK ELEKTRO,41,79,51.9
UNIVERSITAS BANGKA BELITUNG,TEKNIK MESIN,20,66,30.3
UNIVERSITAS BANGKA BELITUNG,TEKNIK PERTAMBANGAN,24,49,48.98
UNIVERSITAS BANGKA BELITUNG,TEKNIK SIPIL,35,138,25.36
