Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS HASANUDDIN,ADMINISTRASI PUBLIK,60,441,13.61
UNIVERSITAS HASANUDDIN,AGRIBISNIS,130,1076,12.08
UNIVERSITAS HASANUDDIN,AGROTEKNOLOGI,130,803,16.19
UNIVERSITAS HASANUDDIN,AKUNTANSI,80,1461,5.48
UNIVERSITAS HASANUDDIN,ANTROPOLOGI SOSIAL,30,143,20.98
UNIVERSITAS HASANUDDIN,ARKEOLOGI,42,143,29.37
UNIVERSITAS HASANUDDIN,BAHASA MANDARIN DAN KEBUDAYAAN TIONGKOK,42,55,76.36
UNIVERSITAS HASANUDDIN,BIOLOGI,77,239,32.22
UNIVERSITAS HASANUDDIN,BUDIDAYA PERAIRAN,70,187,37.43
UNIVERSITAS HASANUDDIN,EKONOMI PEMBANGUNAN,78,485,16.08
UNIVERSITAS HASANUDDIN,FARMASI,90,1602,5.62
UNIVERSITAS HASANUDDIN,FISIKA,63,78,80.77
UNIVERSITAS HASANUDDIN,FISOTERAPI,36,363,9.92
UNIVERSITAS HASANUDDIN,GEOFISIKA,63,122,51.64
UNIVERSITAS HASANUDDIN,HUKUM ADMINISTRASI NEGARA,55,530,10.38
UNIVERSITAS HASANUDDIN,ILMU AKTUARIA,30,428,7.01
UNIVERSITAS HASANUDDIN,ILMU DAN TEKNOLOGI PANGAN,65,386,16.84
UNIVERSITAS HASANUDDIN,ILMU GIZI,45,723,6.22
UNIVERSITAS HASANUDDIN,ILMU HUBUNGAN INTERNASIONAL,60,902,6.65
UNIVERSITAS HASANUDDIN,ILMU HUKUM,160,2323,6.89
UNIVERSITAS HASANUDDIN,ILMU KELAUTAN,105,203,51.72
UNIVERSITAS HASANUDDIN,ILMU KEPERAWATAN,90,641,14.04
UNIVERSITAS HASANUDDIN,ILMU KOMPUTER,45,885,5.08
UNIVERSITAS HASANUDDIN,ILMU KOMUNIKASI,45,1192,3.78
UNIVERSITAS HASANUDDIN,ILMU PEMERINTAHAN,44,638,6.9
