Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS SILIWANGI,AGRIBISNIS,60,639,9.39
UNIVERSITAS SILIWANGI,AGROTEKNOLOGI,40,386,10.36
UNIVERSITAS SILIWANGI,AKUNTANSI,100,884,11.31
UNIVERSITAS SILIWANGI,EKONOMI PEMBANGUNAN,100,550,18.18
UNIVERSITAS SILIWANGI,EKONOMI SYARIAH,60,603,9.95
UNIVERSITAS SILIWANGI,GIZI,45,589,7.64
UNIVERSITAS SILIWANGI,ILMU POLITIK,60,510,11.76
UNIVERSITAS SILIWANGI,INFORMATIKA,60,720,8.33
UNIVERSITAS SILIWANGI,KESEHATAN MASYARAKAT,60,941,6.38
UNIVERSITAS SILIWANGI,MANAJEMEN,120,1611,7.45
UNIVERSITAS SILIWANGI,PENDIDIKAN BAHASA INDONESIA,60,545,11.01
UNIVERSITAS SILIWANGI,PENDIDIKAN BAHASA INGGRIS,60,480,12.5
UNIVERSITAS SILIWANGI,PENDIDIKAN BIOLOGI,60,211,28.44
UNIVERSITAS SILIWANGI,PENDIDIKAN EKONOMI,60,268,22.39
UNIVERSITAS SILIWANGI,PENDIDIKAN FISIKA,70,91,76.92
UNIVERSITAS SILIWANGI,PENDIDIKAN GEOGRAFI,60,281,21.35
UNIVERSITAS SILIWANGI,PENDIDIKAN JASMANI,60,239,25.1
UNIVERSITAS SILIWANGI,PENDIDIKAN MASYARAKAT,60,268,22.39
UNIVERSITAS SILIWANGI,PENDIDIKAN MATEMATIKA,70,358,19.55
UNIVERSITAS SILIWANGI,PENDIDIKAN SEJARAH,100,287,34.84
UNIVERSITAS SILIWANGI,TEKNIK ELEKTRO,30,233,12.88
UNIVERSITAS SILIWANGI,TEKNIK SIPIL,40,577,6.93
