Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS SINGAPERBANGSA KARAWANG,AGRIBISNIS,50,315,15.87
UNIVERSITAS SINGAPERBANGSA KARAWANG,AGROTEKNOLOGI,68,328,20.73
UNIVERSITAS SINGAPERBANGSA KARAWANG,AKUNTANSI,106,774,13.7
UNIVERSITAS SINGAPERBANGSA KARAWANG,FARMASI,32,485,6.6
UNIVERSITAS SINGAPERBANGSA KARAWANG,GIZI,32,358,8.94
UNIVERSITAS SINGAPERBANGSA KARAWANG,HUBUNGAN INTERNASIONAL,36,555,6.49
UNIVERSITAS SINGAPERBANGSA KARAWANG,ILMU HUKUM,108,623,17.34
UNIVERSITAS SINGAPERBANGSA KARAWANG,ILMU KEOLAHRAGAAN,36,42,85.71
UNIVERSITAS SINGAPERBANGSA KARAWANG,ILMU KOMUNIKASI,90,1082,8.32
UNIVERSITAS SINGAPERBANGSA KARAWANG,ILMU PEMERINTAHAN,90,573,15.71
UNIVERSITAS SINGAPERBANGSA KARAWANG,MANAJEMEN,108,1363,7.92
UNIVERSITAS SINGAPERBANGSA KARAWANG,PEND. BAHASA DAN SASTRA INDONESIA,60,392,15.31
UNIVERSITAS SINGAPERBANGSA KARAWANG,PEND. BAHASA INGGRIS,81,398,20.35
UNIVERSITAS SINGAPERBANGSA KARAWANG,"PEND. JASMANI, KESEHATAN DAN REKREASI",90,125,72.0
UNIVERSITAS SINGAPERBANGSA KARAWANG,PEND. LUAR SEKOLAH,48,116,41.38
UNIVERSITAS SINGAPERBANGSA KARAWANG,PEND. MATEMATIKA,81,256,31.64
UNIVERSITAS SINGAPERBANGSA KARAWANG,SISTEM INFORMASI,54,529,10.21
UNIVERSITAS SINGAPERBANGSA KARAWANG,TEKNIK ELEKTRO,48,342,14.04
UNIVERSITAS SINGAPERBANGSA KARAWANG,TEKNIK INDUSTRI,95,780,12.18
UNIVERSITAS SINGAPERBANGSA KARAWANG,TEKNIK INFORMATIKA,81,999,8.11
UNIVERSITAS SINGAPERBANGSA KARAWANG,TEKNIK KIMIA,32,157,20.38
UNIVERSITAS SINGAPERBANGSA KARAWANG,TEKNIK LINGKUNGAN,32,239,13.39
UNIVERSITAS SINGAPERBANGSA KARAWANG,TEKNIK MESIN,63,355,17.75
